timestamp,No_,Name,Search Name,Name 2,Address,Address 2,City,Contact,Phone No_,Telex No_,Our Account No_,Territory Code,Department,Project,Chain Name,Budgeted Amount,Credit Limit (LCY),Customer Posting Group,Currency Code,Customer Price Group,Language Code,Statistics Group,Payment Terms Code,Fin_ Charge Terms Code,Salesperson Code,Shipment Method Code,Shipping Agent Code,Place of Export,Invoice Disc_ Code,Customer Disc_ Group,Country_Region Code,Collection Method,Amount,Blocked,Invoice Copies,Last Statement No_,Print Statements,Bill-to Customer No_,Priority,Payment Method Code,Last Date Modified,Application Method,Prices Including VAT,Location Code,Fax No_,Telex Answer Back,VAT Registration No_,Combine Shipments,Gen_ Bus_ Posting Group,Picture,Post Code,County,E-Mail,Home Page,Reminder Terms Code,No_ Series,Tax Area Code,Tax Liable,VAT Bus_ Posting Group,Reserve,Block Payment Tolerance,IC Partner Code,Prepayment _,Primary Contact No_,Responsibility Center,Shipping Advice,Shipping Time,Shipping Agent Service Code,Service Zone Code,Allow Line Disc_,Base Calendar Code,Copy Sell-to Addr_ to Qte From,Type of Supply Code,Cash Flow Payment Terms Code,Partner Type,Preferred Bank Account
0x00000000006879FA,1121212,Spotsmeyer's Furnishings,SPOTSMEYER'S FURNISHINGS,,612 South Sunset Drive,,Miami,Mr. Mike Nash,,,,FOREIGN,SALES,,,0,0,FOREIGN,USD,,ENU,0,1M(8D),2.0 FOR.,JR,EXW,,,1121212,,US,,0,0,0,0,1,1454545,0,,00:00.0,0,0,YELLOW,,,,1,EXPORT,NULL,US-FL 37125,,spotsmeyer's.furnishings@cronuscorp.net,,FOREIGN,,,0,EXPORT,1,0,,0,,,0,,,X,1,,0,,,0,
0x00000000006879FE,1445544,Progressive Home Furnishings,PROGRESSIVE HOME FURNISHINGS,,3000 Roosevelt Blvd.,,Chicago,Mr. Scott Mitchell,,,,FOREIGN,SALES,,,0,0,FOREIGN,USD,,ENU,0,14 DAYS,2.0 FOR.,JR,EXW,,,1445544,RETAIL,US,,0,0,0,0,1,,0,,00:00.0,0,0,YELLOW,,,,1,EXPORT,NULL,US-IL 61236,,progressive.home.furnishings@cronuscorp.net,,FOREIGN,,,0,EXPORT,1,0,,0,,,0,,,X,1,,0,,,0,
0x0000000000687A03,1454545,New Concepts Furniture,NEW CONCEPTS FURNITURE,,705 West Peachtree Street,,Atlanta,Ms. Tammy L. McDonald,,,,FOREIGN,SALES,,,0,0,FOREIGN,USD,,ENU,0,CM,2.0 FOR.,JR,EXW,,,1454545,LARGE ACC,US,,0,0,0,0,1,,0,,00:00.0,0,0,YELLOW,,,,1,EXPORT,NULL,US-GA 31772,,new.concepts.furniture@cronuscorp.net,,FOREIGN,,,0,EXPORT,1,0,,0,,,0,,,X,1,,0,,,0,
0x00000000006879FC,1905893,Candoxy Canada Inc.,CANDOXY CANADA INC.,,18 Cumberland Street,,Thunder Bay,Mr. Rob Young,,,,FOREIGN,SALES,,,0,0,FOREIGN,CAD,,ENC,0,1M(8D),2.0 FOR.,JR,EXW,,,1905893,,CA,,0,0,0,0,1,,0,,00:00.0,0,0,YELLOW,,,,1,EXPORT,NULL,CA-ON P7B 5E2,,candoxy.canada.inc@cronuscorp.net,,FOREIGN,,,0,EXPORT,1,0,,0,,,0,,,X,1,,0,,,0,
0x00000000006879FD,1905899,Elkhorn Airport,ELKHORN AIRPORT,,105 Buffalo Dr.,,Elkhorn,Mr. Ryan Danner,,,,FOREIGN,SALES,,,0,0,FOREIGN,CAD,,ENC,0,14 DAYS,2.0 FOR.,JR,EXW,,,1905899,RETAIL,CA,,0,0,0,0,1,,0,,00:00.0,0,0,YELLOW,,,,1,EXPORT,NULL,CA-MB R0M 0N0,,elkhorn.airport@cronuscorp.net,,FOREIGN,,,0,EXPORT,1,0,,0,,,0,,,X,1,,0,,,0,
0x00000000006879F5,1905902,London Candoxy Storage Campus,LONDON CANDOXY STORAGE CAMPUS,,120 Wellington Rd.,,London,Mr. John Kane,,,,FOREIGN,SALES,,,0,0,FOREIGN,CAD,,ENC,0,CM,2.0 FOR.,JR,EXW,,,1905902,LARGE ACC,CA,,0,0,0,0,1,,0,,00:00.0,0,0,YELLOW,,,,1,EXPORT,NULL,CA-ON N6B 1V7,,london.candoxy.storage.campus@cronuscorp.net,,FOREIGN,,,0,EXPORT,1,0,,0,,,0,,,X,1,,0,,,0,
0x00000000006879F0,10000,The Cannon Group PLC,THE CANNON GROUP PLC,,192 Market Square,,Birmingham,Mr. Andy Teal,,,,FOREIGN,SALES,,,0,0,DOMESTIC,,,ENG,0,1M(8D),1.5 DOM.,PS,EXW,DHL,,10000,,GB,,0,0,0,0,1,,0,,00:00.0,0,0,BLUE,,,789456278,1,NATIONAL,NULL,B27 4KT,,the.cannon.group.plc@cronuscorp.net,,DOMESTIC,,,0,NATIONAL,1,0,,0,,BIRMINGHAM,0,1,OVERNIGHT,M,1,,0,,,0,
0x00000000006879C8,101000,School of Fine Art,SCHOOL OF FINE ART,,72 Lord Street,,Liverpool,Irene J?ergensen,,,,FOREIGN,SALES,,,0,0,DOMESTIC,,,ENG,0,1M(8D),1.5 DOM.,AH,EXW,DHL,,10000,,GB,,0,0,0,0,1,,0,,00:00.0,0,0,GREEN,,,789456278,1,NATIONAL,NULL,L2 1TL,Merseyside,,http://www.fineartschool.net *,DOMESTIC,,,0,NATIONAL,1,0,,0,,BIRMINGHAM,0,1,OVERNIGHT,M,1,,0,,,0,
0x000000000068799E,102000,Graphic Design Institute,GRAPHIC DESIGN INSTITUTE,,33 Royal Avenue,,Belfast,Ari Suominen,,,,FOREIGN,SALES,,,0,0,DOMESTIC,,,ENG,0,1M(8D),1.5 DOM.,AH,EXW,DHL,,10000,,GB,,0,0,0,0,1,,0,,00:00.0,0,0,BLUE,,,789456278,1,NATIONAL,NULL,BT1 1FD,,,http://www.graphicdesigninstitute.com/,DOMESTIC,,,0,NATIONAL,1,0,,0,,BIRMINGHAM,0,1,OVERNIGHT,M,1,,0,,,0,
0x00000000006879C9,103000,Ivan Komashinsky,IVAN KOMASHINSKY,,44 Donegall Place,,Belfast,Ivan Komashinsky,,,,FOREIGN,SALES,,,0,0,DOMESTIC,,,ENG,0,1M(8D),1.5 DOM.,MD,EXW,DHL,,10000,,GB,,0,0,0,0,1,,0,,00:00.0,0,0,BLUE,,,789456278,1,NATIONAL,NULL,BT1 5BB,Antrim,,,DOMESTIC,,,0,NATIONAL,1,0,,0,,BIRMINGHAM,0,1,OVERNIGHT,M,1,,0,,,0,
