timestamp,Entry No_,Budget Name,G_L Account No_,Date,Department,Project,Amount,Description,Business Unit Code,User ID,Budget Dimension 1 Code,Budget Dimension 2 Code,Budget Dimension 3 Code,Budget Dimension 4 Code,Dimension Set ID,Last Date Modified
0x000000000068D03C,1,2010,6110,01/01/2010,SALES,,-69680,,,,,,,,53,1753-01-01 00:00:00.000
0x000000000068D111,2,2010,8130,01/01/2010,ADM,,4530,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D112,3,2010,8130,01/01/2010,PROD,,6800,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D113,4,2010,8130,01/01/2010,SALES,,11330,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D214,5,2010,8420,01/01/2010,ADM,,70,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D215,6,2010,8420,01/01/2010,PROD,,100,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D216,7,2010,8420,01/01/2010,SALES,,170,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D2D1,8,2010,8640,01/01/2010,ADM,,30,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D2D2,9,2010,8640,01/01/2010,PROD,,50,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D2D3,10,2010,8640,01/01/2010,SALES,,80,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D2D4,11,2010,8640,31/01/2010,PROD,,19600,,,,,,,,145,1753-01-01 00:00:00.000
0x000000000068D3A1,12,2010,8830,31/01/2010,ADM,MERCEDES,490,,,,,,,,138,1753-01-01 00:00:00.000
0x000000000068D048,13,2010,6120,01/01/2010,SALES,,-2100,,,,,,,,36,1753-01-01 00:00:00.000
0x000000000068D05C,14,2010,6210,01/01/2010,SALES,,-318610,,,,,,,,150,1753-01-01 00:00:00.000
0x000000000068D135,15,2010,8210,01/01/2010,ADM,,1160,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D136,16,2010,8210,01/01/2010,PROD,,1730,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D137,17,2010,8210,01/01/2010,SALES,,2890,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D238,18,2010,8430,01/01/2010,ADM,,530,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D239,19,2010,8430,01/01/2010,PROD,,800,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D23A,20,2010,8430,01/01/2010,SALES,,1330,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D2FA,21,2010,8710,01/01/2010,ADM,,20840,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D2FB,22,2010,8710,01/01/2010,PROD,,31260,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D2FC,23,2010,8710,01/01/2010,SALES,,52110,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D051,24,2010,6130,01/01/2010,SALES,,-6160,,,,,,,,132,1753-01-01 00:00:00.000
0x000000000068D068,25,2010,6220,01/01/2010,SALES,,-155740,,,,,,,,150,1753-01-01 00:00:00.000
0x000000000068D159,26,2010,8230,01/01/2010,ADM,,130,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D15A,27,2010,8230,01/01/2010,PROD,,200,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D15B,28,2010,8230,01/01/2010,SALES,,330,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D25C,29,2010,8450,01/01/2010,SALES,,340,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D31F,30,2010,8720,01/01/2010,ADM,,6300,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D320,31,2010,8720,01/01/2010,PROD,,9450,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D321,32,2010,8720,01/01/2010,SALES,,15760,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D08C,33,2010,7110,01/01/2010,SALES,,56180,,,,,,,,26,1753-01-01 00:00:00.000
0x000000000068D17D,34,2010,8240,01/01/2010,ADM,,70,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D17E,35,2010,8240,01/01/2010,PROD,,100,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D17F,36,2010,8240,01/01/2010,SALES,,160,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D265,37,2010,8510,01/01/2010,ADM,,80,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D266,38,2010,8510,01/01/2010,PROD,,130,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D267,39,2010,8510,01/01/2010,SALES,,210,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D343,40,2010,8730,01/01/2010,ADM,,130,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D344,41,2010,8730,01/01/2010,PROD,,200,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D345,42,2010,8730,01/01/2010,SALES,,330,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D098,43,2010,7120,01/01/2010,SALES,,15060,,,,,,,,99,1753-01-01 00:00:00.000
0x000000000068D0AA,44,2010,7210,01/01/2010,SALES,,188880,,,,,,,,39,1753-01-01 00:00:00.000
0x000000000068D0A2,45,2010,7130,01/01/2010,SALES,,1650,,,,,,,,134,1753-01-01 00:00:00.000
0x000000000068D0B6,46,2010,7220,01/01/2010,SALES,,86990,,,,,,,,14,1753-01-01 00:00:00.000
0x000000000068D28F,47,2010,8530,01/01/2010,ADM,,40,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D290,48,2010,8530,01/01/2010,PROD,,70,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D291,49,2010,8530,01/01/2010,SALES,,110,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D370,50,2010,8750,01/01/2010,ADM,,1690,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D371,51,2010,8750,01/01/2010,PROD,,2540,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D372,52,2010,8750,01/01/2010,SALES,,4240,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D078,53,2010,6710,01/01/2010,SALES,,-16690,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D0C8,54,2010,8110,01/01/2010,ADM,,490,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D0C9,55,2010,8110,01/01/2010,PROD,,730,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D0CA,56,2010,8110,01/01/2010,SALES,,1220,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D1CE,57,2010,8330,01/01/2010,ADM,,60,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D1CF,58,2010,8330,01/01/2010,PROD,,90,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D1D0,59,2010,8330,01/01/2010,SALES,,150,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D37F,60,2010,8820,31/01/2010,PROD,,50,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D084,61,2010,6810,01/01/2010,SALES,,-30,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D0EC,62,2010,8120,01/01/2010,ADM,,680,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D0ED,63,2010,8120,01/01/2010,PROD,,1020,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D0EE,64,2010,8120,01/01/2010,SALES,,1690,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D1EF,65,2010,8410,01/01/2010,ADM,,2060,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D1F0,66,2010,8410,01/01/2010,PROD,,3090,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D1F1,67,2010,8410,01/01/2010,SALES,,5160,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D03D,68,2010,6110,01/02/2010,SALES,,-81060,,,,,,,,36,1753-01-01 00:00:00.000
0x000000000068D06E,69,2010,6230,01/02/2010,SALES,,-102540,,,,,,,,127,1753-01-01 00:00:00.000
0x000000000068D114,70,2010,8130,01/02/2010,ADM,,4760,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D115,71,2010,8130,01/02/2010,PROD,,7140,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D116,72,2010,8130,01/02/2010,SALES,,11910,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D217,73,2010,8420,01/02/2010,ADM,,70,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D218,74,2010,8420,01/02/2010,PROD,,110,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D219,75,2010,8420,01/02/2010,SALES,,190,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D2D5,76,2010,8640,01/02/2010,ADM,,110,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D2D6,77,2010,8640,01/02/2010,PROD,,170,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D2D7,78,2010,8640,01/02/2010,SALES,,280,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D2D8,79,2010,8640,28/02/2010,PROD,,660,,,,,,,,145,1753-01-01 00:00:00.000
0x000000000068D2D9,80,2010,8640,28/02/2010,ADM,,2200,,,,,,,,196,1753-01-01 00:00:00.000
0x000000000068D3A2,81,2010,8830,28/02/2010,ADM,MERCEDES,550,,,,,,,,138,1753-01-01 00:00:00.000
0x000000000068D05D,82,2010,6210,01/02/2010,SALES,,-513570,,,,,,,,198,1753-01-01 00:00:00.000
0x000000000068D138,83,2010,8210,01/02/2010,ADM,,1310,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D139,84,2010,8210,01/02/2010,PROD,,1960,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D13A,85,2010,8210,01/02/2010,SALES,,3270,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D23B,86,2010,8430,01/02/2010,ADM,,600,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D23C,87,2010,8430,01/02/2010,PROD,,900,,,,,,,,2,1753-01-01 00:00:00.000
0x000000000068D23D,88,2010,8430,01/02/2010,SALES,,1510,,,,,,,,4,1753-01-01 00:00:00.000
0x000000000068D2FD,89,2010,8710,01/02/2010,ADM,,25780,,,,,,,,137,1753-01-01 00:00:00.000
0x000000000068D2FE,90,2010,8710,01/02/2010,PROD,,38670,,,,,,,,2,1753-01-01 00:00:00.000
